Synonymy

File1 ,1.000000, 2, 2
File2 ,1.000000, 3, 3
File3 ,0.666667, 2, 3
File4 ,0.800000, 4, 5
File5 ,0.666667, 2, 3
File6 ,0.666667, 2, 3
File7 ,0.900000, 9, 10
File8 ,0.666667, 2, 3
File9 ,0.428571, 3, 7
File10 ,0.600000, 3, 5
File11 ,1.000000, 2, 2
File12 ,0.500000, 1, 2
File13 ,0.750000, 3, 4
File14 ,0.500000, 1, 2
File15 ,1.000000, 1, 1
File16 ,1.000000, 1, 1
File17 ,0.000000, 0, 3
File18 ,0.428571, 3, 7
File19 ,1.000000, 4, 4
File20 ,0.500000, 2, 4
File21 ,0.666667, 6, 9
File22 ,1.000000, 9, 9
File23 ,0.000000, 0, 1
File24 ,0.714286, 5, 7
File25 ,1.000000, 1, 1
File26 ,0.500000, 2, 4
File27 ,0.600000, 3, 5
File28 ,1.000000, 5, 5
Hyponym

File1 ,1.000000, 2, 2
File2 ,1.000000, 3, 3
File3 ,1.000000, 3, 3
File4 ,1.000000, 5, 5
File5 ,1.000000, 3, 3
File6 ,1.000000, 3, 3
File7 ,1.000000, 10, 10
File8 ,1.000000, 3, 3
File9 ,0.857143, 6, 7
File10 ,1.000000, 5, 5
File11 ,1.000000, 2, 2
File12 ,1.000000, 2, 2
File13 ,1.000000, 4, 4
File14 ,1.000000, 2, 2
File15 ,1.000000, 1, 1
File16 ,1.000000, 1, 1
File17 ,1.000000, 3, 3
File18 ,1.000000, 7, 7
File19 ,1.000000, 4, 4
File20 ,0.750000, 3, 4
File21 ,1.000000, 9, 9
File22 ,1.000000, 9, 9
File23 ,1.000000, 1, 1
File24 ,1.000000, 7, 7
File25 ,1.000000, 1, 1
File26 ,1.000000, 4, 4
File27 ,1.000000, 5, 5
File28 ,1.000000, 5, 5
